,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
131,Kim Little,sct SCO,MF,Arsenal,27,1990,9,8,710,7.9,3,1,2,1,1,0,0,0.38,0.13,0.51,0.25,0.38,Matches,bef86627
132,Chloe Lloyd,wls WAL,DFFW,Yeovil Town,20,1996,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64b0b347
133,Kate Longhurst,eng ENG,MFDF,Liverpool,28,1989,14,12,1046,11.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,05638837
134,Simone Magill,nir NIR,MF,Everton,22,1994,6,4,368,4.1,1,2,1,0,0,0,0,0.24,0.49,0.73,0.24,0.73,Matches,34691e2f
135,Aoife Mannion,eng ENG,DF,Birmingham City,21,1995,18,18,1616,18.0,3,0,0,3,4,3,0,0.17,0.00,0.17,0.00,0.00,Matches,65be012f
136,Jasmine Matthews,eng ENG,DF,Bristol City,24,1993,13,12,1058,11.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,208e9d61
137,Sarah Mayling,eng ENG,MFDF,Birmingham City,20,1997,11,6,559,6.2,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches,5aad26a6
138,Katie McCabe,ie IRL,FWDF,Arsenal,21,1995,11,6,604,6.7,2,3,2,0,0,0,0,0.30,0.45,0.75,0.30,0.75,Matches,cb3a3ff4
139,Abbie McManus,eng ENG,DF,Manchester City,24,1993,16,16,1430,15.9,2,3,2,0,0,0,0,0.13,0.19,0.31,0.13,0.31,Matches,6b4fff19
140,Beth Mead,eng ENG,FWMF,Arsenal,22,1995,17,14,1326,14.7,8,1,8,0,0,0,0,0.54,0.07,0.61,0.54,0.61,Matches,921c8f1d
141,Chloe Melton,eng ENG,FW,Yeovil Town,,,5,0,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3aeebe27
142,Tessel Middag,nl NED,MF,Manchester City,24,1992,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,391e83d9
143,Vivianne Miedema,nl NED,FWMF,Arsenal,21,1996,11,9,854,9.5,4,2,4,0,1,1,0,0.42,0.21,0.63,0.42,0.63,Matches,fa4e4c0a
144,Hannah Miles,wls WAL,DFMF,Yeovil Town,19,1998,12,9,824,9.2,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches,2629623f
145,Emma Mitchell,sct SCO,DF,Arsenal,24,1992,17,15,1304,14.5,1,1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,0bf3e7fe
146,Maren Mjelde,no NOR,MFDF,Chelsea,27,1989,17,15,1363,15.1,4,0,4,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,3bf287fc
147,Grace Moloney,ie IRL,GK,Reading,24,1993,5,3,302,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dd0c049a
148,Jade Moore,eng ENG,MF,Reading,26,1990,14,13,1102,12.2,1,2,1,0,0,4,0,0.08,0.16,0.25,0.08,0.25,Matches,4319f536
149,Anna Moorhouse,eng ENG,GK,Arsenal,22,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,271c5edc
150,Esme Morgan,eng ENG,DF,Manchester City,16,2000,7,6,550,6.1,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches,ecacba26
